YEAR,MO,DY,HR,WS50M,WD50M
2006,1,19,8,7.82,124.8
2006,1,19,9,7.4,126.7
2006,1,19,10,7.0,128.4
2006,1,19,11,6.69,130.3
2006,1,19,12,6.51,131.9
2006,1,19,13,6.51,132.4
2006,1,19,14,6.67,132.2
2006,1,19,15,7.06,130.5
2006,1,19,16,7.8,126.3
2006,1,19,17,8.9,121.4
2006,1,19,18,9.85,117.2
2006,1,19,19,10.39,116.1
2006,1,19,20,10.29,119.1
2006,1,19,21,9.69,123.0
2006,1,19,22,8.92,127.2
2006,1,19,23,8.26,130.5
2006,1,20,0,7.8,132.3
2006,1,20,1,7.22,133.1
2006,1,20,2,6.85,133.6
2006,1,20,3,6.4,134.8
2006,1,20,4,5.99,136.1
2006,1,20,5,5.64,136.9
2006,1,20,6,5.63,137.1
2006,1,20,7,7.4,131.7
2006,1,20,8,7.85,128.7
2006,1,20,9,7.73,127.0
2006,1,20,10,7.51,124.0
2006,1,20,11,7.31,120.5
2006,1,20,12,7.2,116.6
2006,1,20,13,7.13,113.9
2006,1,20,14,7.18,111.8
2006,1,20,15,7.51,109.9
2006,1,20,16,8.06,108.8
2006,1,20,17,8.83,108.2
2006,1,20,18,9.43,107.8
2006,1,20,19,9.56,107.4
2006,1,20,20,9.3,109.4
2006,1,20,21,8.66,111.8
2006,1,20,22,7.89,113.6
2006,1,20,23,7.1,114.4
2006,1,21,0,6.64,113.5
2006,1,21,1,6.38,112.8
2006,1,21,2,6.14,112.8
2006,1,21,3,6.06,113.0
2006,1,21,4,6.36,113.5
2006,1,21,5,6.73,116.1
2006,1,21,6,7.29,118.5
2006,1,21,7,9.21,117.7
2006,1,21,8,9.6,118.1
2006,1,21,9,9.26,119.1
2006,1,21,10,8.84,119.7
2006,1,21,11,8.54,118.9
2006,1,21,12,8.36,117.4
2006,1,21,13,8.29,116.3
2006,1,21,14,8.25,115.2
2006,1,21,15,8.3,114.8
2006,1,21,16,8.44,114.4
2006,1,21,17,8.82,113.9
2006,1,21,18,9.42,112.5
2006,1,21,19,9.47,110.3
2006,1,21,20,9.46,110.0
2006,1,21,21,9.19,110.8
2006,1,21,22,8.56,111.2
2006,1,21,23,7.89,112.1
2006,1,22,0,7.39,113.2
2006,1,22,1,7.08,114.5
2006,1,22,2,7.21,115.3
2006,1,22,3,7.22,116.7
2006,1,22,4,7.1,118.2
2006,1,22,5,7.1,120.2
2006,1,22,6,7.17,121.6
2006,1,22,7,9.27,120.7
2006,1,22,8,9.55,121.6
2006,1,22,9,9.04,122.4
2006,1,22,10,8.51,122.2
2006,1,22,11,8.1,120.6
2006,1,22,12,7.88,118.3
2006,1,22,13,7.95,116.2
2006,1,22,14,8.19,114.8
2006,1,22,15,8.49,114.4
2006,1,22,16,8.79,114.5
2006,1,22,17,9.21,114.8
2006,1,22,18,9.61,114.6
2006,1,22,19,9.67,113.7
2006,1,22,20,9.81,114.6
2006,1,22,21,9.62,116.1
2006,1,22,22,9.11,117.1
2006,1,22,23,8.59,117.3
2006,1,23,0,8.32,117.4
2006,1,23,1,8.01,116.9
2006,1,23,2,7.67,116.3
2006,1,23,3,7.19,116.2
2006,1,23,4,6.85,116.5
2006,1,23,5,6.62,117.2
2006,1,23,6,6.78,117.5
2006,1,23,7,8.39,116.5
2006,1,23,8,8.46,116.1
2006,1,23,9,8.11,114.8
2006,1,23,10,7.71,113.3
2006,1,23,11,7.39,111.8
2006,1,23,12,7.27,110.0
2006,1,23,13,7.34,108.3
2006,1,23,14,7.69,107.5
2006,1,23,15,8.3,107.5
2006,1,23,16,9.1,107.6
2006,1,23,17,9.98,107.1
2006,1,23,18,10.46,106.5
2006,1,23,19,10.47,106.8
2006,1,23,20,10.03,108.1
2006,1,23,21,9.35,109.3
2006,1,23,22,8.68,110.8
2006,1,23,23,8.08,112.9
2006,1,24,0,7.62,114.6
2006,1,24,1,7.33,117.3
2006,1,24,2,7.28,120.4
2006,1,24,3,7.25,122.6
2006,1,24,4,7.39,123.1
2006,1,24,5,7.58,122.4
2006,1,24,6,7.6,121.3
2006,1,24,7,9.51,118.0
2006,1,24,8,9.75,114.7
2006,1,24,9,9.61,112.5
2006,1,24,10,9.44,110.9
2006,1,24,11,9.33,109.5
2006,1,24,12,9.39,108.2
2006,1,24,13,9.63,106.9
2006,1,24,14,9.9,105.9
2006,1,24,15,10.07,106.3
2006,1,24,16,10.04,107.4
2006,1,24,17,9.81,108.1
2006,1,24,18,9.27,107.9
2006,1,24,19,8.28,107.5
2006,1,24,20,7.64,107.7
2006,1,24,21,7.16,107.5
2006,1,24,22,6.76,107.6
2006,1,24,23,6.72,108.9
2006,1,25,0,6.55,109.8
2006,1,25,1,6.51,110.2
2006,1,25,2,6.43,111.5
2006,1,25,3,6.04,113.1
2006,1,25,4,6.17,114.8
2006,1,25,5,6.43,116.3
2006,1,25,6,6.31,118.0
2006,1,25,7,8.58,113.6
2006,1,25,8,9.38,110.8
2006,1,25,9,9.31,110.6
2006,1,25,10,9.24,110.3
2006,1,25,11,9.22,109.8
2006,1,25,12,9.34,109.4
2006,1,25,13,9.53,109.8
2006,1,25,14,9.73,110.7
2006,1,25,15,9.89,111.7
2006,1,25,16,9.93,112.3
2006,1,25,17,9.8,112.4
2006,1,25,18,9.43,111.5
2006,1,25,19,8.57,109.2
2006,1,25,20,8.23,107.7
2006,1,25,21,7.94,106.8
2006,1,25,22,7.57,107.8
2006,1,25,23,7.01,108.9
2006,1,26,0,7.02,109.5
2006,1,26,1,6.94,110.1
2006,1,26,2,6.73,111.2
2006,1,26,3,6.38,111.7
2006,1,26,4,6.25,111.8
2006,1,26,5,6.61,111.9
2006,1,26,6,6.58,112.2
2006,1,26,7,8.37,108.8
2006,1,26,8,8.59,106.6
2006,1,26,9,8.33,105.2
2006,1,26,10,8.08,104.1
2006,1,26,11,7.92,103.4
2006,1,26,12,7.94,102.6
2006,1,26,13,8.09,102.8
2006,1,26,14,8.35,102.8
2006,1,26,15,8.71,102.2
2006,1,26,16,9.1,101.3
2006,1,26,17,9.42,100.6
2006,1,26,18,9.41,99.7
2006,1,26,19,8.51,97.9
2006,1,26,20,7.9,97.6
2006,1,26,21,7.41,99.1
2006,1,26,22,6.94,100.8
2006,1,26,23,6.66,102.2
2006,1,27,0,6.82,103.6
2006,1,27,1,6.91,106.0
2006,1,27,2,7.05,108.7
2006,1,27,3,7.1,111.0
2006,1,27,4,7.13,112.0
2006,1,27,5,6.89,112.9
2006,1,27,6,6.74,114.0
2006,1,27,7,8.27,112.1
2006,1,27,8,8.21,110.8
2006,1,27,9,7.86,109.1
2006,1,27,10,7.43,107.9
2006,1,27,11,6.94,107.7
2006,1,27,12,6.57,107.4
2006,1,27,13,6.46,107.1
2006,1,27,14,6.59,106.6
2006,1,27,15,7.05,106.1
2006,1,27,16,7.81,105.3
2006,1,27,17,8.79,103.8
2006,1,27,18,9.98,101.8
2006,1,27,19,10.63,100.8
2006,1,27,20,10.53,102.0
2006,1,27,21,9.72,103.1
2006,1,27,22,9.09,104.4
2006,1,27,23,8.38,105.4
2006,1,28,0,7.79,106.2
2006,1,28,1,7.64,108.2
2006,1,28,2,7.44,110.5
2006,1,28,3,7.23,112.6
2006,1,28,4,7.03,113.7
2006,1,28,5,6.77,113.2
2006,1,28,6,6.85,112.1
2006,1,28,7,8.45,111.7
2006,1,28,8,8.25,111.3
2006,1,28,9,7.78,110.7
2006,1,28,10,7.3,111.1
2006,1,28,11,6.77,112.6
2006,1,28,12,6.22,114.1
2006,1,28,13,5.83,113.8
2006,1,28,14,5.59,111.8
2006,1,28,15,5.64,107.7
2006,1,28,16,6.35,101.3
2006,1,28,17,7.7,97.6
2006,1,28,18,9.13,96.9
2006,1,28,19,9.81,97.1
2006,1,28,20,10.64,98.0
2006,1,28,21,10.25,99.7
2006,1,28,22,9.54,100.8
2006,1,28,23,8.85,102.5
2006,1,29,0,8.29,105.9
2006,1,29,1,7.68,110.4
2006,1,29,2,6.95,114.9
2006,1,29,3,6.04,119.5
2006,1,29,4,5.32,121.9
